"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数,
岡山市立足守小学校,35,27,27,27,31,38,94,91,185,13,9,3
岡山市立伊島小学校,141,161,155,150,142,141,458,432,890,47,34,9
岡山市立中山小学校,74,88,100,119,78,115,300,274,574,43,24,8
岡山市立御南小学校,142,135,144,130,136,142,397,432,829,33,29,5
岡山市立大元小学校,200,166,191,211,184,154,568,538,1106,47,40,8
岡山市立野谷小学校,18,30,28,19,22,23,63,77,140,10,8,2
岡山市立鯉山小学校,29,30,37,31,31,38,111,85,196,7,8,2
岡山市立岡南小学校,87,77,72,68,78,65,234,213,447,37,19,6
岡山市立石井小学校,74,62,73,58,57,65,209,180,389,15,16,3
岡山市立三門小学校,47,37,47,37,37,39,132,112,244,25,12,4
岡山市立蛍明小学校,15,17,22,19,21,9,42,61,103,5,8,2
岡山市立清輝小学校,23,15,19,15,15,19,57,49,106,22,10,4
岡山市立福渡小学校,7,11,9,11,11,6,26,29,55,4,7,1
岡山市立建部小学校,21,17,23,20,18,24,72,51,123,10,8,2
岡山市立竹枝小学校,4,11,8,5,9,4,16,25,41,5,6,2
岡山市立牧石小学校,50,40,47,38,44,56,147,128,275,15,15,3
岡山市立大野小学校,91,84,64,76,84,74,247,226,473,15,17,3
岡山市立鹿田小学校,146,169,153,146,158,123,470,425,895,42,33,8
岡山市立津島小学校,116,134,142,143,138,132,423,382,805,25,28,4
岡山市立加茂小学校,39,37,42,43,47,31,118,121,239,11,13,3
岡山市立馬屋上小学校,1,3,1,2,2,7,7,9,16,2,4,1
岡山市立御野小学校,107,94,105,96,111,94,329,278,607,23,22,4
岡山市立西小学校,220,192,198,203,199,207,641,578,1219,42,41,6
岡山市立平津小学校,24,39,32,33,33,34,119,76,195,7,9,2
岡山市立吉備小学校,210,186,196,181,175,176,617,507,1124,42,39,7
岡山市立桃丘小学校,24,32,36,36,28,34,101,89,190,9,9,2
岡山市立陵南小学校,142,152,144,162,146,126,426,446,872,42,31,6
岡山市立馬屋下小学校,25,19,21,26,21,16,60,68,128,9,8,2
岡山市立御津小学校,27,29,32,31,20,24,80,83,163,8,8,2
岡山市立五城小学校,8,7,10,10,7,11,23,30,53,0,6,0
岡山市立御津南小学校,29,31,22,21,23,24,80,70,150,17,9,3
岡山市立庄内小学校,75,103,100,97,105,105,294,291,585,23,22,4
岡山市立岡山中央小学校,129,154,146,173,147,128,459,418,877,62,36,11
岡山市立横井小学校,149,148,156,148,164,149,464,450,914,32,31,5
岡山市立旭東小学校,17,10,17,24,13,29,65,45,110,6,8,2
