"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数
岡山市立足守小学校,24,35,27,27,27,31,83,88,171,13,9,3
岡山市立伊島小学校,116,142,167,154,152,143,444,430,874,52,33,9
岡山市立中山小学校,104,72,88,103,120,78,289,276,565,38,22,6
岡山市立御南小学校,145,142,131,140,126,140,384,440,824,33,29,5
岡山市立大元小学校,178,196,163,182,211,185,579,536,1115,64,43,12
岡山市立野谷小学校,29,17,30,27,18,22,66,77,143,11,8,2
岡山市立鯉山小学校,35,30,30,36,32,31,105,89,194,6,8,2
岡山市立岡南小学校,73,87,78,70,65,79,240,212,452,37,19,6
岡山市立石井小学校,74,74,58,71,57,56,201,189,390,15,17,3
岡山市立三門小学校,29,46,37,48,39,36,127,108,235,20,12,4
岡山市立蛍明小学校,20,15,18,22,19,21,54,61,115,4,8,2
岡山市立清輝小学校,31,23,13,19,16,15,62,55,117,19,9,3
岡山市立福渡小学校,6,7,11,9,10,10,26,27,53,4,7,1
岡山市立建部小学校,19,21,17,22,19,18,73,43,116,11,8,2
岡山市立竹枝小学校,4,4,11,8,5,9,17,24,41,4,6,2
岡山市立牧石小学校,38,51,40,47,39,44,136,123,259,15,14,3
岡山市立大野小学校,71,87,83,61,74,82,239,219,458,20,17,3
岡山市立鹿田小学校,144,151,163,151,150,158,496,421,917,51,35,10
岡山市立津島小学校,126,122,134,143,144,141,442,368,810,38,30,6
岡山市立加茂小学校,41,39,36,41,43,47,116,131,247,12,13,3
岡山市立馬屋上小学校,3,1,3,1,2,2,9,3,12,1,4,1
岡山市立御野小学校,113,105,94,105,97,112,341,285,626,26,23,4
岡山市立西小学校,196,217,186,191,208,194,637,555,1192,51,41,8
岡山市立平津小学校,24,24,39,30,33,32,107,75,182,6,9,2
岡山市立吉備小学校,226,211,187,196,181,176,651,526,1177,48,41,8
岡山市立桃丘小学校,25,24,32,35,37,28,96,85,181,11,9,3
岡山市立陵南小学校,156,138,151,144,161,146,458,438,896,49,33,8
岡山市立馬屋下小学校,18,26,19,21,26,21,65,66,131,10,8,2
岡山市立御津小学校,34,26,28,33,31,19,84,87,171,12,8,2
岡山市立五城小学校,7,8,7,10,10,7,23,26,49,0,6,0
岡山市立御津南小学校,22,30,30,22,21,23,85,63,148,17,9,3
岡山市立庄内小学校,66,76,103,102,97,106,290,260,550,22,21,4
岡山市立岡山中央小学校,119,132,153,146,175,143,449,419,868,56,34,9
岡山市立横井小学校,149,147,147,158,148,163,464,448,912,36,32,6
岡山市立旭東小学校,21,17,10,16,25,13,59,43,102,7,8,2
岡山市立旭操小学校,106,91,91,76,79,89,280,252,532,31,21,5
岡山市立高島小学校,177,172,163,166,184,180,518,524,1042,65,40,10
岡山市立竜之口小学校,84,76,108,100,84,112,286,278,564,30,22,5
岡山市立幡多小学校,147,151,154,155,176,155,461,477,938,62,37,11
岡山市立三勲小学校,96,95,95,97,96,98,304,273,577,41,25,7
岡山市立財田小学校,81,85,96,82,108,91,269,274,543,36,22,5
岡山市立宇野小学校,143,153,134,155,150,147,444,438,882,37,31,6
岡山市立平井小学校,112,137,127,112,123,128,371,368,739,56,30,9
岡山市立富山小学校,139,109,126,123,130,123,377,373,750,40,27,7
岡山市立操南小学校,92,106,114,102,103,101,320,298,618,31,23,5
岡山市立操明小学校,84,110,97,104,89,89,292,281,573,25,22,4
岡山市立旭竜小学校,17,26,30,34,22,25,86,68,154,8,8,2
岡山市立可知小学校,60,71,81,63,94,78,228,219,447,31,18,5
岡山市立西大寺南小学校,31,44,37,38,29,46,112,113,225,9,11,2
岡山市立開成小学校,19,29,29,19,23,17,67,69,136,9,8,2
岡山市立大宮小学校,0,3,4,2,0,7,10,6,16,0,3,0
岡山市立太伯小学校,19,28,24,29,24,40,80,84,164,10,8,2
岡山市立古都小学校,38,30,34,36,31,40,103,106,209,9,9,2
岡山市立角山小学校,6,9,6,7,6,8,26,16,42,0,4,0
岡山市立西大寺小学校,78,84,86,88,62,95,271,222,493,22,21,4
岡山市立豊小学校,45,52,40,39,45,42,119,144,263,14,12,2
岡山市立芥子山小学校,145,146,154,152,153,155,450,455,905,70,36,12
