"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級数,学級数（学級）,（再掲）特別支援学級数
岡山市立足守小学校,23,24,34,27,27,27,74,88,162,8,8,2
岡山市立伊島小学校,145,124,149,167,158,156,455,444,899,61,35,11
岡山市立中山小学校,89,104,72,87,103,122,303,274,577,44,24,8
岡山市立御南小学校,124,144,141,135,143,124,387,424,811,37,30,6
岡山市立蛍明小学校,18,20,15,17,23,19,54,58,112,8,8,2
岡山市立大元小学校,183,168,194,156,175,206,542,540,"1,082",70,42,11
岡山市立野谷小学校,24,28,16,31,28,19,64,82,146,11,8,2
岡山市立鯉山小学校,29,35,29,30,36,32,109,82,191,7,8,2
岡山市立岡南小学校,68,78,84,75,69,63,227,210,437,36,19,6
岡山市立石井小学校,69,69,73,58,70,58,209,188,397,14,15,3
岡山市立三門小学校,49,33,46,38,47,41,139,115,254,27,13,4
岡山市立清輝小学校,20,28,23,11,18,14,56,58,114,15,9,3
岡山市立福渡小学校,5,6,9,11,9,10,23,27,50,3,7,1
岡山市立建部小学校,16,19,20,17,22,18,69,43,112,14,8,2
岡山市立竹枝小学校,5,3,3,11,8,4,16,18,34,2,6,2
岡山市立牧石小学校,40,40,49,41,47,38,125,130,255,17,14,3
岡山市立大野小学校,84,67,86,84,61,74,234,222,456,21,19,4
岡山市立鹿田小学校,147,139,152,158,153,144,464,429,893,57,36,11
岡山市立津島小学校,120,121,123,142,139,138,430,353,783,40,30,7
岡山市立加茂小学校,38,40,40,35,41,43,113,124,237,13,12,3
岡山市立馬屋上小学校,2,3,1,3,1,2,10,2,12,1,4,1
岡山市立御野小学校,101,114,107,96,105,97,330,290,620,23,23,4
岡山市立西小学校,216,195,217,183,181,208,625,575,"1,200",54,43,9
岡山市立平津小学校,28,24,25,39,30,33,103,76,179,7,9,2
岡山市立吉備小学校,209,229,210,188,197,184,663,554,"1,217",58,45,11
岡山市立桃丘小学校,32,24,23,31,33,37,99,81,180,11,9,3
岡山市立陵南小学校,133,155,138,151,138,165,459,421,880,45,32,7
岡山市立馬屋下小学校,23,18,27,19,20,26,75,58,133,10,8,2
岡山市立御津小学校,22,31,26,27,33,31,82,88,170,15,9,3
岡山市立五城小学校,9,7,8,7,10,10,26,25,51,,6,
岡山市立御津南小学校,25,22,30,30,22,22,84,67,151,18,9,3
岡山市立庄内小学校,89,67,76,105,105,97,288,251,539,22,19,3
岡山市立岡山中央小学校,130,120,134,155,149,176,453,411,864,66,37,12
岡山市立横井小学校,144,150,151,147,159,148,465,434,899,47,33,8
岡山市立旭東小学校,17,26,18,9,17,22,60,49,109,7,8,2
岡山市立旭操小学校,82,105,94,91,76,81,276,253,529,37,21,5
岡山市立高島小学校,208,180,170,163,172,184,538,539,"1,077",68,44,13
岡山市立竜之口小学校,78,81,76,107,99,83,265,259,524,28,22,6
岡山市立幡多小学校,156,143,152,157,155,179,472,470,942,57,35,9
岡山市立三勲小学校,79,96,96,98,96,96,297,264,561,42,24,6
岡山市立財田小学校,79,81,85,95,79,107,260,266,526,36,22,5
岡山市立宇野小学校,151,144,151,135,151,146,451,427,878,46,32,8
岡山市立平井小学校,120,111,134,127,114,119,374,351,725,54,31,9
岡山市立富山小学校,111,137,115,126,123,132,371,373,744,52,29,9
岡山市立操南小学校,101,93,106,113,101,104,307,311,618,32,23,5
岡山市立操明小学校,99,85,110,98,105,87,289,295,584,32,23,5
岡山市立旭竜小学校,25,19,25,28,35,21,85,68,153,5,8,2
岡山市立可知小学校,82,61,72,80,64,92,228,223,451,35,20,6
岡山市立西大寺南小学校,24,32,42,37,38,30,99,104,203,8,10,2
岡山市立開成小学校,18,19,29,29,19,23,68,69,137,11,8,2
岡山市立大宮小学校,3,,3,4,2,,6,6,12,,3,
岡山市立太伯小学校,25,19,28,24,29,24,77,72,149,11,8,2
岡山市立古都小学校,30,37,29,34,34,32,94,102,196,8,8,2
岡山市立角山小学校,11,6,10,6,7,6,27,19,46,,4,
岡山市立西大寺小学校,79,79,86,84,89,64,263,218,481,26,21,4
岡山市立豊小学校,38,43,54,41,40,46,119,143,262,12,13,2
岡山市立芥子山小学校,132,145,145,153,149,154,426,452,878,65,35,11
岡山市立城東台小学校,36,34,36,40,44,48,123,115,238,16,12,3
岡山市立幸島小学校,16,10,15,13,14,16,41,43,84,4,7,1
岡山市立御休小学校,16,21,25,13,30,24,76,53,129,7,8,2
岡山市立江西小学校,114,116,96,90,103,100,316,303,619,27,24,4
岡山市立千種小学校,28,26,23,32,29,19,69,88,157,8,8,2
岡山市立雄神小学校,10,15,12,13,9,21,40,40,80,4,7,1
岡山市立朝日小学校,5,12,7,2,8,10,23,21,44,1,7,1
岡山市立浮田小学校,23,34,28,37,36,32,96,94,190,6,8,1
岡山市立平島小学校,40,41,34,48,40,35,118,120,238,8,11,2
岡山市立政田小学校,29,38,42,34,39,43,101,124,225,12,10,3
岡山市立甲浦小学校,37,40,43,37,44,28,119,110,229,18,13,4
岡山市立芳田小学校,98,77,92,79,88,96,251,279,530,31,22,5
岡山市立浦安小学校,98,82,108,80,89,90,288,259,547,33,23,5
岡山市立灘崎小学校,50,48,64,64,43,75,187,157,344,17,15,3
岡山市立灘崎小学校迫川分校,11,8,11,,,,18,12,30,,3,
岡山市立七区小学校,20,24,29,14,24,20,73,58,131,8,8,2
岡山市立小串小学校,3,3,5,3,3,9,9,17,26,2,4,1
岡山市立福田小学校,152,131,139,144,131,136,425,408,833,52,33,9
岡山市立妹尾小学校,91,80,93,84,83,88,262,257,519,35,23,6
岡山市立曾根小学校,23,25,33,22,23,29,78,77,155,19,10,4
岡山市立福島小学校,63,52,64,58,62,57,221,135,356,27,17,5
岡山市立興除小学校,39,38,41,41,37,27,101,122,223,15,11,3
岡山市立南輝小学校,86,87,96,85,88,103,291,254,545,47,27,9
岡山市立東疇小学校,69,75,61,62,88,65,202,218,420,30,18,5
岡山市立彦崎小学校,32,46,38,49,42,61,125,143,268,15,13,3
岡山市立平福小学校,76,98,81,94,80,95,261,263,524,28,19,4
岡山市立福浜小学校,128,127,135,113,167,137,412,395,807,51,33,8
岡山市立第一藤田小学校,32,45,35,46,40,36,127,107,234,15,11,3
岡山市立第二藤田小学校,61,57,46,55,44,71,166,168,334,23,16,4
岡山市立第三藤田小学校,26,23,21,30,28,24,75,77,152,13,9,3
岡山市立芳泉小学校,207,12,21,209,229,265,474,469,943,72,36,12
岡山市立芳泉小学校ひばり分校,,203,199,,,,197,205,402,,11,
岡山市立芳明小学校,107,100,86,86,93,83,277,278,555,31,23,5
岡山市立箕島小学校,57,61,47,45,46,33,143,146,289,6,13,2
倉敷市立倉敷東小学校,56,81,84,63,71,75,226,204,430,28,19,5
倉敷市立倉敷西小学校,41,43,65,54,44,60,147,160,307,13,14,2
倉敷市立老松小学校,158,155,157,133,160,160,449,474,923,49,36,8
倉敷市立万寿小学校,129,154,125,128,141,175,429,423,852,31,31,5
倉敷市立万寿東小学校,84,90,108,93,69,96,252,288,540,13,20,3
倉敷市立大高小学校,199,166,196,181,167,174,576,507,"1,083",71,44,12
倉敷市立葦高小学校,107,139,116,144,139,130,416,359,775,34,29,6
倉敷市立倉敷南小学校,98,95,106,86,102,105,278,314,592,39,24,6
倉敷市立中洲小学校,120,140,137,124,138,124,382,401,783,36,31,7
倉敷市立中島小学校,160,174,156,166,140,168,512,452,964,38,34,6
倉敷市立粒江小学校,74,98,85,101,90,76,281,243,524,19,19,3
倉敷市立中庄小学校,138,133,155,135,184,146,448,443,891,48,34,8
倉敷市立帯江小学校,100,104,129,104,106,114,357,300,657,31,24,5
倉敷市立菅生小学校,76,68,71,83,68,88,231,223,454,16,18,3
倉敷市立豊洲小学校,57,68,65,69,83,80,211,211,422,18,15,3
倉敷市立庄小学校,157,154,137,149,164,155,458,458,916,30,32,6
倉敷市立茶屋町小学校,189,169,213,205,204,214,626,568,"1,194",48,43,8
倉敷市立西阿知小学校,192,194,169,183,141,174,555,498,"1,053",43,37,7
倉敷市立第一福田小学校,131,113,119,124,134,110,376,355,731,42,30,7
倉敷市立第二福田小学校,118,121,130,108,119,128,367,357,724,28,28,5
倉敷市立第三福田小学校,41,57,45,58,69,42,151,161,312,11,13,2
倉敷市立第四福田小学校,86,99,95,119,110,100,315,294,609,30,25,6
倉敷市立第五福田小学校,30,32,55,41,40,54,134,118,252,16,11,3
倉敷市立水島小学校,14,24,12,16,19,22,59,48,107,10,8,2
倉敷市立旭丘小学校,60,57,55,43,51,53,154,165,319,18,15,3
倉敷市立連島西浦小学校,41,38,46,43,44,42,134,120,254,15,14,3
倉敷市立連島神亀小学校,59,60,53,57,54,59,179,163,342,23,15,3
倉敷市立連島東小学校,42,69,58,54,74,81,177,201,378,22,15,3
倉敷市立連島南小学校,157,154,152,126,144,122,440,415,855,45,32,7
倉敷市立連島北小学校,21,22,21,24,20,20,68,60,128,,6,
倉敷市立霞丘小学校,1,1,1,3,2,,6,2,8,,3,
倉敷市立天城小学校,86,103,105,100,107,101,302,300,602,20,22,4
倉敷市立味野小学校,46,35,51,56,40,50,153,125,278,16,13,3
倉敷市立赤崎小学校,70,50,71,67,67,71,205,191,396,18,15,3
倉敷市立下津井東小学校,6,14,12,12,17,21,44,38,82,5,7,1
倉敷市立下津井西小学校,7,10,11,9,9,11,28,29,57,2,7,1
倉敷市立本荘小学校,16,25,17,16,24,21,70,49,119,6,8,2
倉敷市立児島小学校,101,123,124,105,115,158,382,344,726,43,29,7
倉敷市立緑丘小学校,36,37,39,34,30,26,117,85,202,16,10,3
倉敷市立琴浦東小学校,32,40,45,57,47,50,140,131,271,16,14,3
倉敷市立琴浦西小学校,67,90,69,76,71,67,232,208,440,23,17,4
倉敷市立琴浦南小学校,41,35,39,36,35,38,124,100,224,15,10,3
倉敷市立琴浦北小学校,,,2,2,2,3,5,4,9,,2,
倉敷市立郷内小学校,55,69,51,46,67,57,171,174,345,20,15,3
倉敷市立郷内小学校尾原分校,,,,,,,,,,,,
倉敷市立玉島小学校,69,68,56,64,65,71,219,174,393,25,17,5
倉敷市立上成小学校,68,74,80,73,68,73,236,200,436,28,16,4
倉敷市立乙島小学校,55,68,61,54,72,55,189,176,365,17,15,3
倉敷市立乙島東小学校,21,28,29,27,26,26,81,76,157,14,9,3
倉敷市立柏島小学校,40,57,47,41,42,42,143,126,269,14,14,3
倉敷市立長尾小学校,121,157,149,158,169,139,471,422,893,28,30,4
倉敷市立富田小学校,75,73,79,82,76,73,229,229,458,26,20,5
倉敷市立玉島南小学校,67,66,59,49,68,65,195,179,374,18,15,3
倉敷市立沙美小学校,6,4,3,4,3,3,12,11,23,,4,
倉敷市立南浦小学校,,1,2,4,3,2,7,5,12,,3,
倉敷市立穂井田小学校,8,6,8,5,8,7,23,19,42,4,5,1
倉敷市立船穂小学校,72,72,83,64,69,67,228,199,427,20,15,3
倉敷市立柳井原小学校,2,8,4,8,6,6,15,19,34,3,5,1
倉敷市立川辺小学校,47,47,53,39,58,37,134,147,281,14,13,3
倉敷市立岡田小学校,48,32,27,51,32,36,110,116,226,12,10,2
倉敷市立薗小学校,33,34,31,40,45,46,124,105,229,12,12,3
倉敷市立二万小学校,7,16,12,14,14,15,42,36,78,9,8,2
倉敷市立箭田小学校,39,41,40,50,44,47,139,122,261,14,15,3
倉敷市立呉妹小学校,5,12,6,10,13,9,33,22,55,1,7,1
津山市立東小学校,44,38,34,42,30,50,134,104,238,9,12,2
津山市立西小学校,36,29,35,34,32,38,123,81,204,20,9,3
津山市立南小学校,26,18,34,29,26,25,92,66,158,6,7,1
津山市立北小学校,42,44,39,34,40,43,112,130,242,8,12,2
津山市立林田小学校,39,42,45,41,46,47,130,130,260,14,15,3
津山市立鶴山小学校,68,59,70,71,73,64,209,196,405,26,16,4
津山市立弥生小学校,74,86,96,74,100,85,275,240,515,16,21,3
津山市立向陽小学校,27,45,35,44,42,37,119,111,230,19,12,3
津山市立院庄小学校,28,21,20,21,26,35,66,85,151,11,8,2
津山市立佐良山小学校,42,39,47,43,31,47,131,118,249,16,14,3
津山市立一宮小学校,72,67,66,85,79,88,255,202,457,23,19,4
津山市立高田小学校,20,18,19,19,27,21,70,54,124,9,8,2
津山市立清泉小学校,6,11,16,16,10,11,43,27,70,5,7,1
津山市立高倉小学校,26,16,16,16,17,12,46,57,103,6,8,2
津山市立高野小学校,74,64,91,57,82,76,229,215,444,26,18,4
津山市立成名小学校,16,17,21,14,21,18,61,46,107,7,8,2
津山市立河辺小学校,50,52,40,51,53,44,152,138,290,14,15,3
津山市立大崎小学校,32,38,28,28,28,29,88,95,183,8,9,2
津山市立広野小学校,24,21,13,25,16,18,60,57,117,8,8,2
津山市立加茂小学校,23,26,36,24,32,48,99,90,189,6,9,2
津山市立新野小学校,18,14,12,21,17,14,50,46,96,8,8,2
津山市立広戸小学校,10,13,6,11,9,12,30,31,61,,6,
津山市立勝加茂小学校,27,25,20,24,24,21,67,74,141,8,8,2
津山市立喬松小学校,4,9,9,14,10,6,24,28,52,3,7,1
津山市立中正小学校,13,13,10,9,13,18,41,35,76,6,8,2
津山市立誠道小学校,13,18,13,12,25,11,49,43,92,3,7,1
津山市立秀実小学校,21,19,15,15,12,15,59,38,97,3,7,1
玉野市立田井小学校,63,44,63,48,56,66,183,157,340,12,14,2
玉野市立築港小学校,16,19,18,9,9,16,46,41,87,4,7,1
玉野市立宇野小学校,34,36,27,32,34,24,93,94,187,12,8,2
玉野市立玉小学校,14,13,15,20,21,15,61,37,98,7,8,2
玉野市立玉原小学校,23,20,28,32,41,23,90,77,167,14,10,3
玉野市立日比小学校,23,16,17,23,24,29,67,65,132,6,8,2
玉野市立第二日比小学校,17,21,17,20,32,28,80,55,135,11,8,2
玉野市立山田小学校,9,8,15,13,15,13,31,42,73,5,7,1
玉野市立後閑小学校,4,4,5,11,8,7,17,22,39,2,5,1
玉野市立荘内小学校,122,125,116,120,110,120,370,343,713,42,31,7
玉野市立八浜小学校,30,31,27,23,29,27,91,76,167,9,8,2
玉野市立大崎小学校,20,14,9,22,12,15,49,43,92,8,7,1
玉野市立胸上小学校,14,13,12,12,13,17,46,35,81,3,7,1
玉野市立鉾立小学校,5,11,12,18,16,15,45,32,77,2,7,1
笠岡市立笠岡小学校,39,44,45,39,33,40,126,114,240,4,12,2
笠岡市立中央小学校,110,95,78,107,92,128,292,318,610,27,24,4
笠岡市立今井小学校,3,8,10,8,12,5,24,22,46,,6,
笠岡市立金浦小学校,37,36,35,34,39,35,117,99,216,7,9,2
笠岡市立城見小学校,18,23,25,25,22,23,65,71,136,4,7,1
笠岡市立陶山小学校,3,7,3,11,8,5,23,14,37,2,6,1
笠岡市立大井小学校,25,26,41,37,35,32,95,101,196,13,10,2
笠岡市立吉田小学校,22,15,13,24,23,17,52,62,114,8,8,2
笠岡市立新山小学校,4,13,9,7,15,10,31,27,58,2,7,1
笠岡市立神内小学校,23,11,25,18,15,20,63,49,112,2,8,2
笠岡市立大島小学校,30,38,39,45,35,34,100,121,221,6,11,2
笠岡市立神島外小学校,3,3,2,6,4,4,10,12,22,,3,
笠岡市立白石小学校,,,,,,,,,,,,
笠岡市立北木小学校,1,1,3,2,2,3,5,7,12,,3,
笠岡市立真鍋小学校,,,,2,,1,1,2,3,,1,
笠岡市立六島小学校,,,,,2,,1,1,2,,1,
笠岡市立北川小学校,14,12,13,15,16,20,51,39,90,2,7,1
井原市立高屋小学校,29,31,33,36,31,35,90,105,195,15,9,3
井原市立大江小学校,18,18,19,14,11,20,47,53,100,2,7,1
