"中学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,男（人）,女（人）,計（人）,生徒数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数
#N/A,120,120,118,158,200,358,,9,
岡山市北区足守中学校,46,45,41,68,64,132,6,7,2
岡山市北区岡輝中学校,88,78,99,139,126,265,17,11,3
岡山市北区中山中学校,187,181,209,271,306,577,12,20,3
岡山市北区石井中学校,139,126,128,221,172,393,13,14,2
岡山市北区高松中学校,184,150,159,246,247,493,8,16,2
岡山市北区建部中学校,40,28,33,61,40,101,5,5,2
岡山市北区御南中学校,291,305,292,505,383,888,19,30,4
岡山市北区京山中学校,270,315,297,463,419,882,29,30,5
岡山市北区岡北中学校,158,164,167,241,248,489,11,15,2
#N/A,77,71,72,87,133,220,,6,
岡山市北区吉備中学校,292,273,291,430,426,856,20,29,4
岡山市北区岡山中央中学校,139,102,109,160,190,350,21,15,5
岡山市北区桑田中学校,260,255,222,382,355,737,23,27,5
岡山市北区御津中学校,50,66,61,103,74,177,13,9,3
岡山市北区香和中学校,138,154,126,217,201,418,13,15,3
岡山市中区竜操中学校,321,316,340,464,513,977,29,33,5
岡山市中区操山中学校,201,197,203,319,282,601,36,24,6
岡山市中区高島中学校,159,154,190,257,246,503,15,17,3
#N/A,6,3,23,23,9,32,,3,
岡山市中区操南中学校,259,266,268,426,367,793,22,27,4
岡山市中区東山中学校,100,134,121,188,167,355,14,12,2
岡山市中区富山中学校,108,120,101,173,156,329,11,12,2
岡山市東区旭東中学校,306,276,319,469,432,901,34,32,6
岡山市東区上南中学校,51,36,59,74,72,146,4,7,2
岡山市東区山南中学校,69,62,81,110,102,212,4,8,2
岡山市東区西大寺中学校,183,165,186,284,250,534,14,18,2
岡山市東区瀬戸中学校,108,129,122,179,180,359,12,12,2
岡山市東区上道中学校,123,154,141,223,195,418,9,14,2
岡山市南区光南台中学校,42,48,59,75,74,149,6,8,2
岡山市南区妹尾中学校,100,102,98,173,127,300,10,11,2
岡山市南区福南中学校,138,145,152,210,225,435,11,14,2
岡山市南区芳泉中学校,321,324,327,487,485,972,33,33,6
岡山市南区芳田中学校,141,180,191,257,255,512,14,18,3
岡山市南区興除中学校,128,151,141,220,200,420,13,15,3
岡山市南区灘崎中学校,131,132,126,216,173,389,17,15,3
岡山市南区藤田中学校,119,116,122,193,164,357,14,13,3
岡山市南区福浜中学校,243,205,256,339,365,704,21,25,4
岡山市南区福田中学校,103,114,131,184,164,348,8,13,2
#N/A,120,120,119,185,174,359,,9,
倉敷市東中学校,233,247,233,378,335,713,22,26,5
倉敷市西中学校,316,297,300,452,461,913,25,32,5
倉敷市南中学校,349,336,386,559,512,"1,071",44,39,8
倉敷市北中学校,193,215,190,316,282,598,25,24,5
倉敷市多津美中学校,190,176,187,274,279,553,14,20,3
倉敷市新田中学校,202,253,234,352,337,689,9,23,2
倉敷市東陽中学校,264,236,245,387,358,745,17,25,3
倉敷市庄中学校,131,159,126,217,199,416,14,15,2
倉敷市倉敷第一中学校,257,265,298,441,379,820,18,28,3
岡山市南区福田中学校,191,200,220,301,310,611,18,22,3
倉敷市福田南中学校,152,166,157,240,235,475,17,18,3
倉敷市水島中学校,75,71,79,117,108,225,18,9,3
倉敷市連島中学校,193,187,189,287,282,569,18,22,4
倉敷市連島南中学校,108,106,107,153,168,321,10,12,2
倉敷市味野中学校,135,127,133,224,171,395,13,14,2
倉敷市下津井中学校,28,24,31,46,37,83,3,5,2
倉敷市児島中学校,155,161,191,282,225,507,23,20,4
倉敷市琴浦中学校,176,187,160,269,254,523,17,19,3
倉敷市郷内中学校,65,79,71,107,108,215,7,8,2
倉敷市玉島東中学校,169,176,179,242,282,524,17,18,3
倉敷市玉島西中学校,122,157,142,217,204,421,14,15,2
倉敷市玉島北中学校,197,224,194,314,301,615,10,21,2
倉敷市黒崎中学校,22,31,40,40,53,93,1,4,1
倉敷市船穂中学校,55,49,59,83,80,163,3,8,2
倉敷市真備東中学校,132,120,123,206,169,375,12,14,2
倉敷市真備中学校,76,86,71,115,118,233,3,8,1
#N/A,80,80,80,108,132,240,,6,
津山市津山東中学校,219,216,237,355,317,672,25,25,6
津山市中道中学校,129,137,153,214,205,419,22,17,4
津山市北陵中学校,218,223,196,341,296,637,22,22,3
津山市鶴山中学校,74,71,82,107,120,227,8,9,2
津山市津山西中学校,145,152,154,236,215,451,21,18,4
津山市加茂中学校,32,43,46,62,59,121,1,6,1
津山市勝北中学校,56,49,60,90,75,165,5,8,2
津山市久米中学校,52,53,54,73,86,159,10,8,2
玉野市宇野中学校,114,147,120,211,170,381,8,15,2
玉野市玉中学校,51,71,53,82,93,175,9,8,2
玉野市日比中学校,58,43,49,71,79,150,7,8,2
玉野市山田中学校,20,28,37,49,36,85,2,4,1
玉野市荘内中学校,85,101,118,170,134,304,12,12,2
玉野市八浜中学校,47,40,50,63,74,137,4,6,1
玉野市東児中学校,32,37,31,55,45,100,2,4,1
笠岡市笠岡東中学校,117,96,128,185,156,341,9,13,2
笠岡市笠岡西中学校,64,84,93,114,127,241,7,10,2
笠岡市金浦中学校,69,75,61,105,100,205,8,8,2
笠岡市新吉中学校,40,28,43,59,52,111,3,6,2
笠岡市大島中学校,28,18,22,30,38,68,1,4,1
笠岡市神島外中学校,5,6,2,10,3,13,,3,
笠岡市白石中学校,3,4,2,4,5,9,2,4,1
笠岡市北木中学校,3,2,1,5,1,6,,3,
笠岡市真鍋中学校,2,,,1,1,2,,1,
笠岡市小北中学校,30,39,47,59,57,116,9,6,2
井原市高屋中学校,65,52,72,104,85,189,3,8,2
