年齢階級別人口（総計）,総数（人）(男女合計),0～4歳（人）,5～9歳（人）,10～14歳（人）,15～19歳（人）,20～24歳（人）,25～29歳（人）,30～34歳（人）,35～39歳（人）,40～44歳（人）,45～49歳（人）,50～54歳（人）,55～59歳（人）,60～64歳（人）,65～69歳（人）,70～74歳（人）,75～79歳（人）,80～84歳（人）,85～89歳（人）,90～94歳（人）,95～99歳（人）,100歳以上
岡山市北区,295502,13312,13335,13155,14142,17417,17591,19041,20039,23842,21572,17489,16513,16269,20644,15275,12748,10922,7609,3466,966,155
岡山市中区,146127,7034,7277,7193,7342,7273,7600,8886,9875,11686,10738,8659,8122,8219,10969,7886,6656,5383,3290,1530,428,81
岡山市東区,96425,3620,4137,4580,5291,4785,4450,5032,5512,7066,6629,5568,5705,5951,8051,6281,5091,4228,2799,1241,348,60
岡山市南区,170598,7842,8136,8416,8713,8359,8949,10478,11284,13811,12341,9922,9727,10134,13497,9450,7765,5947,3712,1602,446,67
倉敷市,484174,22070,23494,23278,25256,24741,25963,28514,30308,38145,34750,26725,25519,27969,37785,29249,24315,18186,11187,5060,1403,257
津山市,102962,4289,4582,5039,5198,4772,5008,5346,6002,7231,6740,5796,6229,6703,8684,5720,5293,4670,3453,1678,452,77
玉野市,61226,1967,2088,2280,2693,2830,2824,2916,3003,4164,3685,3291,3413,4269,6256,4817,4066,3170,2130,1048,284,32
笠岡市,50346,1540,1827,1939,2340,2285,2207,2279,2340,3136,3206,3045,3223,3558,4571,3370,3171,2855,2076,1011,303,64
井原市,41613,1221,1532,1740,2035,1829,1672,1822,2065,2661,2705,2294,2582,2980,3616,2848,2616,2369,1828,896,258,44
総社市,68209,3007,3362,3346,3511,3501,3477,3946,4203,5085,4397,3602,3857,4230,5790,4021,3212,2714,1763,903,233,49
高梁市,31939,887,971,1160,1530,1991,1286,1284,1415,1576,1560,1554,2035,2402,2891,1976,2129,2222,1752,1011,255,52
新見市,30814,905,1072,1260,1354,1138,1093,1282,1345,1651,1484,1572,2092,2410,2899,1967,2102,2316,1722,875,235,40
備前市,35903,1001,1107,1323,1674,1717,1638,1527,1673,2156,2269,2074,2148,2535,3442,2707,2576,2139,1331,662,177,27
瀬戸内市,37975,1274,1510,1604,1818,1755,1662,1771,2002,2705,2455,2211,2256,2537,3453,2620,2195,1861,1361,679,217,29
赤磐市,44599,1857,2022,2144,2115,1891,1768,2370,2590,3208,2666,2267,2612,3025,4351,3103,2458,1993,1300,639,194,26
真庭市,47195,1633,1802,1986,2195,1830,1806,2127,2430,2697,2380,2397,3108,3634,4498,2798,2929,3027,2363,1203,300,52
美作市,28733,875,995,1109,1228,1108,1082,1261,1325,1605,1543,1433,1844,2186,2856,1854,1818,1903,1657,798,215,38
浅口市,35108,1032,1367,1507,1676,1507,1379,1607,1796,2353,2298,1935,1984,2298,3355,2714,2333,1862,1297,606,169,33
和気町,14564,388,467,586,664,602,526,574,729,950,891,786,815,1035,1514,1135,968,895,632,305,83,19
早島町,12342,636,642,642,644,530,557,698,790,1043,815,593,614,672,1059,787,625,459,329,135,41,6
里庄町,11212,484,523,526,551,521,609,604,615,785,752,588,666,706,922,734,602,518,313,147,38,8
矢掛町,14637,448,503,575,669,672,552,642,727,896,893,757,860,1053,1359,1067,945,872,664,345,113,25
新庄村,953,30,31,37,43,38,31,35,41,45,40,52,67,66,73,69,60,80,59,31,14,2
鏡野町,13439,526,537,553,554,550,570,671,729,803,644,596,886,1069,1248,845,741,847,671,316,70,13
勝央町,11266,530,551,520,468,510,557,685,750,722,573,590,724,762,938,575,545,523,445,205,54,9
奈義町,6163,263,248,235,312,435,342,336,303,331,292,267,334,425,566,351,334,318,281,134,35,5
西粟倉村,1485,54,67,61,47,57,70,74,86,76,63,58,106,126,140,64,72,110,80,47,11,2
久米南町,5039,117,146,203,197,184,168,186,204,230,272,239,344,350,531,402,331,401,309,143,44,8
美咲町,14951,471,527,644,563,581,526,673,732,870,825,723,900,1124,1497,954,1033,1004,766,391,127,20
吉備中央町,12133,331,364,438,730,502,503,478,561,628,582,628,826,928,1175,733,755,838,652,379,89,13
