年齢階級別人口（総計）,総数（人）(男女合計),0〜4（歳）,5〜9（歳）,10〜14（歳）,15〜19（歳）,20〜24（歳）,25〜29（歳）,30〜34（歳）,35〜39（歳）,40〜44（歳）,45〜49（歳）,50〜54（歳）,55〜59（歳）,60〜64（歳）,65〜69（歳）,70〜74（歳）,75〜79（歳）,80〜84（歳）,85〜89（歳）,90〜94（歳）,95〜99（歳）,100歳以上,,,,,,,,,,,,,,,,,,,,,,,
岡山市北区,"296,241","12,869","13,213","13,197","14,075","17,919","17,312","18,174","19,204","22,360","23,093","18,760","16,619","16,026","18,108","17,435","13,856","10,549","8,273","3,876","1,159",164,,,,,,,,,,,,,,,,,,,,,,,
岡山市中区,"147,461","6,998","7,200","7,137","7,505","7,467","7,495","8,651","9,528","10,966","11,621","9,266","8,254","8,073","9,431","9,291","7,164","5,392","3,715","1,706",518,83,,,,,,,,,,,,,,,,,,,,,,,
岡山市東区,"95,572","3,360","3,997","4,404","5,114","4,931","4,426","4,807","5,164","6,527","7,036","5,716","5,721","5,776","6,882","6,872","5,733","4,143","3,096",1393,425,49,,,,,,,,,,,,,,,,,,,,,,,
岡山市南区,"169,967","7,486","7,966","8,149","8,657","8,686","8,683","9,794","10,683","12,634","13,381","10,612","9,694","9,658","11,663","11,128","8,389","6,135","4,156","1,808",515,90,,,,,,,,,,,,,,,,,,,,,,,
倉敷市,"482,541","21,212","22,793","23,189","24,590","25,613","24,875","27,283","29,124","34,788","37,534","29,212","25,509","26,307","32,512","32,909","26,397","18,814","12,472","5,583","1,555",270,,,,,,,,,,,,,,,,,,,,,,,
津山市,"101,486","4,061","4,399","4,861","5,174","4,778","4,641","5,223","5,617","6,920","6,956","5,988","5,947","6,559","7,628","6,907","5,269","4,629","3,511","1,856",489,73,,,,,,,,,,,,,,,,,,,,,,,
玉野市,"59,633",1852,1964,"2,127","2,551","2,701","2,546","2,753","2,887","3,614","4,042","3,370","3,337","3,725","5,342","5,459","4,372","3,214","2,279",1134,322,42,,,,,,,,,,,,,,,,,,,,,,,
笠岡市,"48,712",1366,1772,1873,"2,157","2,227","1,986","2,116","2,337","2,754","3,234","3,043","3,110","3,389","4,048","3,753","3,221","2,684","2,137",1096,344,65,,,,,,,,,,,,,,,,,,,,,,,
井原市,"40,639",1129,1448,1621,1964,1837,1627,1746,1888,"2,456","2,708","2,474","2,424","2,731","3,366","3,074","2,742","2,253","1,833",969,286,63,,,,,,,,,,,,,,,,,,,,,,,
総社市,"69,151","2,991","3,379","3,315","3,548","3,724","3,543","3,945","4,146","4,854","4,796","3,820","3,731","4,123","5,033","4,737","3,554","2,697","1,933",955,289,38,,,,,,,,,,,,,,,,,,,,,,,
高梁市,"30,648",809,943,1066,1445,1850,1202,1208,1341,1470,1591,1480,1910,"2,193","2,674","2,219","2,013","2,090","1,747",1032,320,45,,,,,,,,,,,,,,,,,,,,,,,
新見市,"29,624",793,980,1150,1354,1121,961,1190,1241,1533,1562,1471,"1,900","2,289","2,671","2,249","1,973","2,122","1,776",945,298,45,,,,,,,,,,,,,,,,,,,,,,,
備前市,"34,781",974,1070,1183,1538,1680,1467,1516,1531,"1,962","2,272","2,107","2,141","2,261","3,032","2,912","2,686","2,172",1398,658,190,31,,,,,,,,,,,,,,,,,,,,,,,
瀬戸内市,"37,411",1223,1506,1527,1755,1718,1525,1730,1869,"2,508","2,647","2,265","2,251","2,406","2,945","3,007","2,314","1,859",1386,738,205,27,,,,,,,,,,,,,,,,,,,,,,,
赤磐市,"44,303",1791,"2,055",2029,"2,141",1908,1747,"2,173","2,531","2,963","2,990","2,317","2,446","2,842","3,782","3,603","2,694","1,945",1385,725,201,35,,,,,,,,,,,,,,,,,,,,,,,
真庭市,"45,682",1533,1715,1929,"2,088",1766,1545,1946,"2,279","2,702","2,408","2,366","2,788","3,374","4,202","3,328","2,781","2,853","2,377",1325,322,55,,,,,,,,,,,,,,,,,,,,,,,
美作市,"27,816",834,919,1075,1180,1075,1048,1209,1253,1539,1566,1392,1653,"2,020","2,690","2,081",1768,"1,788","1,549",892,242,43,,,,,,,,,,,,,,,,,,,,,,,
浅口市,"34,498",1019,1322,1465,1552,1504,1353,1466,1720,"2,156","2,422",2038,1929,"2,163","2,808","2,960","2,516","1,848",1370,635,216,36,,,,,,,,,,,,,,,,,,,,,,,
和気町,"14,284",390,456,531,658,614,544,568,649,841,961,801,794,916,1288,1305,1041,854,608,357,86,22,,,,,,,,,,,,,,,,,,,,,,,
早島町,"12,550",640,686,662,626,587,587,716,789,965,924,675,571,645,836,915,698,490,325,153,52,8,,,,,,,,,,,,,,,,,,,,,,,
里庄町,"11,193",484,558,527,539,511,511,643,618,700,844,613,596,671,802,825,654,506,376,164,43,8,,,,,,,,,,,,,,,,,,,,,,,
