年齢階級別人口（男）,総数（人）(男),0～4（歳）,5～9（歳）,10～14（歳）,15～19（歳）,20～24（歳）,25～29（歳）,30～34（歳）,35～39（歳）,40～44（歳）,45～49（歳）,50～54（歳）,55～59（歳）,60～64（歳）,65～69（歳）,70～74（歳）,75～79（歳）,80～84（歳）,85～89（歳）,90～94（歳）,95～99（歳）,100歳以上
岡山市北区,142521,6913,6942,6718,7303,8742,8721,9501,10067,11943,10751,8662,8076,8030,9935,7033,5556,4125,2446,882,157,18
岡山市中区,69211,3583,3705,3613,3630,3555,3673,4323,4855,5728,5200,4247,3888,3968,5119,3556,2870,2156,1084,366,83,9
岡山市東区,46001,1855,2061,2353,2733,2481,2222,2513,2742,3560,3228,2693,2767,2852,3761,2923,2289,1684,935,289,51,9
岡山市南区,82911,4026,4138,4347,4501,4232,4502,5203,5691,6937,6178,4876,4786,4999,6475,4419,3419,2404,1305,392,74,7
倉敷市,235898,11169,12246,11927,12965,12592,13186,14359,15277,19216,17503,13236,12533,13927,17927,13800,11041,7561,3850,1330,226,27
津山市,49212,2181,2385,2633,2617,2365,2553,2713,3010,3718,3383,2892,3041,3277,4141,2647,2292,1784,1090,419,65,6
玉野市,29823,1023,1121,1216,1404,1546,1541,1522,1587,2142,1823,1649,1624,2157,2985,2310,1855,1251,726,289,47,5
笠岡市,24114,799,918,1011,1205,1195,1139,1195,1226,1590,1575,1520,1584,1809,2264,1531,1382,1147,724,250,42,8
井原市,19824,617,777,942,1024,850,860,947,1044,1342,1373,1138,1296,1485,1809,1321,1153,975,614,210,41,6
総社市,33167,1572,1736,1759,1804,1773,1681,1978,2154,2589,2220,1790,1840,2071,2777,1931,1482,1110,632,223,35,10
高梁市,15317,446,492,606,793,1147,726,651,751,790,804,779,1051,1246,1488,889,868,878,591,267,46,8
新見市,14744,475,591,668,678,595,580,693,708,864,733,813,1012,1262,1464,863,908,926,627,231,47,6
備前市,17249,494,583,711,830,944,923,815,869,1096,1145,1037,1067,1288,1618,1222,1117,880,399,189,21,1
瀬戸内市,18144,680,826,785,915,865,823,891,1008,1368,1208,1137,1101,1232,1655,1246,972,759,467,162,39,5
赤磐市,21362,974,1022,1115,1082,916,852,1169,1301,1624,1300,1082,1242,1411,2096,1509,1162,849,451,170,33,2
真庭市,22529,823,929,1013,1103,961,962,1102,1277,1415,1197,1196,1542,1807,2327,1276,1247,1198,781,315,50,8
美作市,13698,450,523,548,619,627,579,641,702,819,800,714,911,1104,1476,865,762,757,544,221,32,4
浅口市,17018,541,709,795,851,743,677,844,929,1203,1141,1016,1009,1110,1620,1306,1085,760,476,179,22,2
和気町,6909,206,240,297,342,313,283,288,362,487,441,391,404,498,747,524,440,373,191,67,13,2
早島町,5974,337,351,332,345,246,256,335,387,512,416,301,284,323,497,380,298,200,106,41,10,1
里庄町,5378,250,281,268,279,247,289,303,301,394,375,284,320,341,433,356,278,217,109,40,13,0
矢掛町,6998,208,253,307,344,341,297,321,375,469,440,372,441,521,675,521,419,354,227,92,19,2
新庄村,449,9,16,18,21,20,18,19,23,22,22,25,40,34,35,34,22,34,21,8,4,0
鏡野町,6452,302,274,286,293,277,278,320,385,424,313,308,418,533,645,425,333,323,227,77,8,3
勝央町,5422,274,284,274,239,250,266,350,382,380,277,278,348,377,484,274,233,210,157,66,7,1
奈義町,3068,135,127,118,168,284,212,191,167,158,144,137,165,204,287,175,137,134,87,26,5,1
西粟倉村,679,26,25,30,26,24,34,38,49,35,32,27,58,63,71,28,35,32,29,11,2,0
久米南町,2406,57,65,99,97,88,92,103,113,112,141,120,182,171,287,200,132,172,121,38,8,1
美咲町,7125,246,255,337,308,294,279,347,386,463,425,363,457,575,753,463,454,376,233,95,14,2
吉備中央町,5872,168,190,237,428,245,262,242,296,328,303,304,430,488,613,356,308,336,214,104,19,1
