年齢階級別人口（女）,総数（人）(女),0～4（歳）,5～9（歳）,10～14（歳）,15～19（歳）,20～24（歳）,25～29（歳）,30～34（歳）,35～39（歳）,40～44（歳）,45～49（歳）,50～54（歳）,55～59（歳）,60～64（歳）,65～69（歳）,70～74（歳）,75～79（歳）,80～84（歳）,85～89（歳）,90～94（歳）,95～99（歳）,100歳以上
岡山市北区,152981,6399,6393,6437,6839,8675,8870,9540,9972,11899,10821,8827,8437,8239,10709,8242,7192,6797,5163,2584,809,137
岡山市中区,76916,3451,3572,3580,3712,3718,3927,4563,5020,5958,5538,4412,4234,4251,5850,4330,3786,3227,2206,1164,345,72
岡山市東区,50424,1765,2076,2227,2558,2304,2228,2519,2770,3506,3401,2875,2938,3099,4290,3358,2802,2544,1864,952,297,51
岡山市南区,87687,3816,3998,4069,4212,4127,4447,5275,5593,6874,6163,5046,4941,5135,7022,5031,4346,3543,2407,1210,372,60
倉敷市,248276,10901,11248,11351,12291,12149,12777,14155,15031,18929,17247,13489,12986,14042,19858,15449,13274,10625,7337,3730,1177,230
津山市,53750,2108,2197,2406,2581,2407,2455,2633,2992,3513,3357,2904,3188,3426,4543,3073,3001,2886,2363,1259,387,71
玉野市,31403,944,967,1064,1289,1284,1283,1394,1416,2022,1862,1642,1789,2112,3271,2507,2211,1919,1404,759,237,27
笠岡市,26232,741,909,928,1135,1090,1068,1084,1114,1546,1631,1525,1639,1749,2307,1839,1789,1708,1352,761,261,56
井原市,21789,604,755,798,1011,979,812,875,1021,1319,1332,1156,1286,1495,1807,1527,1463,1394,1214,686,217,38
総社市,35042,1435,1626,1587,1707,1728,1796,1968,2049,2496,2177,1812,2017,2159,3013,2090,1730,1604,1131,680,198,39
高梁市,16622,441,479,554,737,844,560,633,664,786,756,775,984,1156,1403,1087,1261,1344,1161,744,209,44
新見市,16070,430,481,592,676,543,513,589,637,787,751,759,1080,1148,1435,1104,1194,1390,1095,644,188,34
備前市,18654,507,524,612,844,773,715,712,804,1060,1124,1037,1081,1247,1824,1485,1459,1259,932,473,156,26
瀬戸内市,19831,594,684,819,903,890,839,880,994,1337,1247,1074,1155,1305,1798,1374,1223,1102,894,517,178,24
赤磐市,23237,883,1000,1029,1033,975,916,1201,1289,1584,1366,1185,1370,1614,2255,1594,1296,1144,849,469,161,24
真庭市,24666,810,873,973,1092,869,844,1025,1153,1282,1183,1201,1566,1827,2171,1522,1682,1829,1582,888,250,44
美作市,15035,425,472,561,609,481,503,620,623,786,743,719,933,1082,1380,989,1056,1146,1113,577,183,34
浅口市,18090,491,658,712,825,764,702,763,867,1150,1157,919,975,1188,1735,1408,1248,1102,821,427,147,31
和気町,7655,182,227,289,322,289,243,286,367,463,450,395,411,537,767,611,528,522,441,238,70,17
早島町,6368,299,291,310,299,284,301,363,403,531,399,292,330,349,562,407,327,259,223,94,31,5
里庄町,5834,234,242,258,272,274,320,301,314,391,377,304,346,365,489,378,324,301,204,107,25,8
矢掛町,7639,240,250,268,325,331,255,321,352,427,453,385,419,532,684,546,526,518,437,253,94,23
新庄村,504,21,15,19,22,18,13,16,18,23,18,27,27,32,38,35,38,46,38,23,10,2
鏡野町,6987,224,263,267,261,273,292,351,344,379,331,288,468,536,603,420,408,524,444,239,62,10
勝央町,5844,256,267,246,229,260,291,335,368,342,296,312,376,385,454,301,312,313,288,139,47,8
奈義町,3095,128,121,117,144,151,130,145,136,173,148,130,169,221,279,176,197,184,194,108,30,4
西粟倉村,806,28,42,31,21,33,36,36,37,41,31,31,48,63,69,36,37,78,51,36,9,2
久米南町,2633,60,81,104,100,96,76,83,91,118,131,119,162,179,244,202,199,229,188,105,36,7
美咲町,7826,225,272,307,255,287,247,326,346,407,400,360,443,549,744,491,579,628,533,296,113,18
吉備中央町,6261,163,174,201,302,257,241,236,265,300,279,324,396,440,562,377,447,502,438,275,70,12
